name_en,name_ar,lat,lon,parent_name_local
Abu Jandir,أبوجندير,29.242,30.682,مركز أطسا
Abu Hariz,أبوحريز,30.877,31.7,مركز كفر صقر
Abu Hasiba,ابوحسيبة,28.415,30.806,مركز مطاى
Abu Kharash,أبوخراش,31.068,30.59,مركز الرحمانية
Abu Khurs,أبوخرص,27.005,31.25,مركز أبوتيج
Abu Khalqa,أبوخلقة,27.645,30.741,مركز دير مواس
Abu Khalifa,أبوخليفة,30.664,32.222,مركز القنطرة
Abu Khalil,أبوخليل,27.358,30.863,مركز القوصية
Abu Khawda,أبوخودة,30.066,31.271,قسم الظاهر
Abu Dawud Al-Inab,أبوداود العنب,30.881,31.371,مركز أجا
Abu Daraz,أبودراز,31.225,30.613,مركز فوه
Abu Durra,أبودرة,31.013,30.631,مركز شبراخيت
Abu Dishisha,أبودشيشة,31.312,31.358,مركز بلقاس
Abu Dafiya,أبودفية,29.192,30.816,مركز أطسا
Abu Danqash,أبودنقاش,29.289,30.674,مركز أبشواى
Abu Diyab Sharq,أبوديابشرق,26.196,32.545,مركز دشنا
Abu Diyab Gharb,أبوديابغرب,26.174,32.551,مركز دشنا
Abu Rajwan Al-Bahari,أبورجوان البحري,29.812,31.279,مركز البدرشين
Abu Rajwan Al-Qibli,أبورجوان القبلي,29.78,31.262,مركز البدرشين
Abu Raqaba,أبورقبة,30.277,31.027,مركز أشمون
Abu Rawash,أبورواش,30.07,31.085,مركز كرداسة
Abu Ruwaish,أبورويش,29.673,31.236,مركز العياط
Abu Riya,أبورية,31.26,30.962,مركز الرياض
Abu Zurayba,أبوزريبة,31.477,25.341,قسم السلوم
Abu Zaabal,أبوزعبل,30.266,31.359,مركز الخانكة
Abu Zeid,أبوزيد,30.793,31.259,مركز أجا
Abu Sa'ifa,أبوسعيفة,30.86,30.526,مركز الدلنجات
Abu Sultan,أبوسلطان,30.41,32.322,مركز فايد
Abu Sanita,أبوسنيطة,30.405,31.053,مركز الباجور
Abu Sayyidhum,أبوسيدهم,28.344,30.634,مركز سمالوط
Abu Sila,أبوسيلة,28.485,34.052,قسم سانت كاترين
Abu Shahata,أبوشحاتة,28.406,30.789,مركز مطاى
Abu Sharban,أبوشربان,28.971,30.951,مركز ببا
Abu Sharif,أبوشريف,31.383,31.297,مركز بلقاس
Abu Shanar,أبوشنار,31.266,34.188,قسم رفح
Abu Shusha,أبوشوشة,26.169,32.059,مركز أبو طشت
Abu Samada,أبوصمادة,30.802,30.584,مركز الدلنجات
Abu Suweir Al-Balad,أبوصوير البلد,30.587,32.133,مركز الاسماعيلية
Abu Suweir Al-Mahatta,أبوصوير المحطة,30.583,32.194,مركز الاسماعيلية
Abu Suweira,أبوصويرة,29.575,32.893,قسم رأس سدر
Abu Sir,أبوصير,30.935,29.497,قسم برج العرب
Abu Sir,أبوصير,29.899,31.215,مركز البدرشين
Abu Sir Al-Malaq,أبوصير الملق,29.242,31.098,مركز الواسطى
Abu Sir Dafnu,أبوصيردفنو,29.255,30.815,مركز أطسا
Abu Sirina,أبوصيرينا,30.926,31.231,مركز سمنود
Abu Talib,أبو طالب,29.409,30.945,مركز طامية
Abu Taha,أبوطه,31.28,31.42,مركز بلقاس
Abu Tawala,أبوط والة,30.583,31.353,مركز منيا القمح
Abu Tawila,أبوطويلة,31.075,34.028,قسم الشيخ زويد
Abu Aziz,أبوعزيز,28.421,30.819,مركز مطاى
Abu Aziz,أبوعزيز,26.597,31.565,مركز المراغة
Abu Aliwa,أبو عليوة,31.245,30.821,مركز سيدى سالم
Abu Amouri,أبوعموري,26.017,32.214,مركز نجع حمادى
Abu Awali wa Mansha'atuha,أبوع واليومنشأتها,30.296,30.932,مركز أشمون
Abu Eid,أبوعيد,30.759,31.422,مركز ديرب نجم
Abu Ghalib,أبو غالب,30.264,30.94,مركز إمبابة
Abu Gharaqid,أبوغراقد,28.956,33.33,قسم أبو رديس
Abu Ghusun,أبوغصون,24.282,35.335,قسم مرسى علم
Abu Ghunaima,أبوغنيمة,31.276,30.634,مركز سيدى سالم
Abu Qaramit,أبوقراميط,30.838,31.556,مركز السنبلاوين
Abu Qurqas,أبو قرقاص,27.934,30.835,مركز ابو قرقاص
Abu Qalta,أبوقلته,27.807,30.734,مركز ملوى
Abu Qir Al-Sharqiya,أبو قير الشرقية,31.324,30.068,قسم المنتزة
Abu Qir Al-Gharbiya,أبو قير الغربية,31.309,30.061,قسم المنتزة
Abu Karim,أبوكريم,27.594,30.696,مركز ديروط
Abu Kasah,أبوكساه,29.386,30.703,مركز أبشواى
Abu Kals,أبوكلس,30.611,30.847,مركز الشهداء
Abu Al-Hawl Al-Bahariya,أبوله والبحرية,31.454,26.699,قسم مرسى مطروح
Abu Al-Hawl Al-Janoubiya,أبوله والجنوبية,31.309,26.837,قسم مرسى مطروح
Abu Marqiq,أبومرقيق,31.177,27.751,قسم مرسى مطروح
Abu Masoud,أبو مسعود,30.947,30.519,مركز الدلنجات
Abu Mashhour,أبومشهور,30.698,31.058,مركز بركة السبع
Abu Mashifa,أبومشيفة,31.347,25.861,قسم سيدى برانى
Abu Mustafa,أبو مصطفي,31.36,30.876,مركز الرياض
Abu Mina Bahari,أبومناعبحري,26.147,32.355,مركز دشنا
Abu Mina Sharq,أبومناعشرق,26.181,32.479,مركز دشنا
Abu Mina Gharb,أبومناعغرب,26.151,32.438,مركز دشنا
Abu Mina Qibli,أبومناعقبلي,26.157,32.476,مركز دشنا
Abu Manjouj,أبو من ج و ج,30.934,30.743,مركز شبراخيت
Abu Nashaba,أبونشابة,30.383,30.861,مركز السادات
Abu Hur,أبوهور,24.645,32.942,مركز نصر
Abu Yasin,أبوياسين,30.71,31.633,مركز أبوكبير
Abu Yahya,أبويحيي,31.024,30.589,مركز شبراخيت
Abwan,أبوان,28.397,30.723,مركز مطاى
Abu Stail,ابوسطيل,31.58,26.008,قسم سيدى برانى
Abu Sunbul,أبوسنبل,24.438,33.021,مركز نصر
Abwit,أبويط,29.324,31.14,مركز الواسطى
Abirmad,أبيرماد,23.452,35.442,قسم شلاتين
Ibya Al-Hamra,ابيا الحمراء,30.857,30.548,مركز الدلنجات
Abyar,أبيار,30.845,30.852,مركز كفر الزيات
Abyana,أبيانة,31.325,30.528,مركز مطوبس
Abij,أبيج,30.886,30.773,مركز كفر الزيات
Abis 7_8_9_10,ابيس 7_8_9_10,31.183,29.949,قسم محرم بك
Abis wa Khurshid,أبيس وخورشيد,31.198,29.996,قسم ثان الرمل
Abis 1,أبيس 1,31.171,30.003,مركز كفر الدوار
Abis 3,أبيس 3,31.151,30.002,مركز كفر الدوار
Abis 4,أبيس 4,31.131,29.998,مركز كفر الدوار
Abis 5,أبيس 5,31.11,29.986,مركز كفر الدوار
Abis 6,أبيس 6,31.088,29.972,مركز كفر الدوار
Abis El-Mostagadda,أبيس المستجدة,31.138,30.058,مركز كفر الدوار
Abyouqa,أبيوقا,31.167,30.731,مركز دسوق
Abyouqa,أبيوقا,30.797,30.606,مركز كوم حمادة
Abyouha,أبيوها,27.979,30.814,مركز ابو قرقاص
Atrees,أتريس,30.325,30.878,مركز إمبابة
Atqa,أتقا,27.8,30.759,مركز ملوى
Atdelim,أتليدم,27.882,30.782,مركز ابو قرقاص
Atmeeda,أتميدة,30.759,31.349,مركز ميت غمر
Athar El-Nabi,أثر النبي,29.992,31.242,مصرالقديمة
Athariyat Fadel,أثرياتفاضل,30.932,30.539,مركز إيتاى البارود
Agehour El-Raml,أجهور الرمل,30.501,31.152,مركز قويسنا
Agehour El-Soghra,أجهور الصغري,30.264,31.146,مركز القناطر الخيرية
Agehour El-Kobra,أجهور الكبري,30.296,31.149,مركز طوخ
Ahmed El-Mansy,احمد المنسي,30.998,31.151,قسم ثان المحلة الكبرى
Ahmed Badawy,احمد بدوى,30.66,29.95,قسم غرب النوبارية
Ahmed Ramy,أحمد رامى,30.723,30.53,مركز الدلنجات
Ahmed Shawqy,أحمد شوقى,30.727,30.277,مركز ابوالمطامير
Ahmed Oraby,أحمد عرابى,30.423,30.678,مركز بدر
Akhtab,أخطاب,30.841,31.318,مركز أجا
Akhnawy El-Zallaqa,أخناوي الزلاقة,30.807,31.042,مركز طنطا
Adrasia,ادراسية,29.11,30.915,مركز أهناسيا
Adreega,أدريجة,31.2,30.965,مركز كفر الشيخ
Adshay,ادشاي,30.775,30.886,مركز كفر الزيات
Adfa,أدفا,26.573,31.636,مركز سوهاج
Edfu Qebly,ادفو قبلى,24.928,32.848,مركز أدفو
Edfeena,أدفينا,31.294,30.51,مركز رشيد
Adqaq El-Mesk,أدقاق المسك,28.416,30.752,مركز مطاى
Adam,أدم,30.224,29.787,قسم غرب النوبارية
Admo,أدمو,28.142,30.65,مركز المنيا
Adandan,أدندان,24.4,32.969,مركز نصر
Adandan,أدندان,22.446,32.365,مركز أبوسنبل
Ard El-Lewaa,أرض اللواء,30.055,31.188,مركز كرداسة
Arqitous El-Hamad,أرقيطوسيلحمد,31.085,25.266,قسم السلوم
Armania,أرمانية,30.942,30.694,مركز إيتاى البارود
Armana,ارمنا,24.514,33.048,مركز نصر
Arymoun,أريمون,31.198,30.899,مركز كفر الشيخ
Ishaqa,إسحاقة,31.126,31.001,مركز كفر الشيخ
Asdeema,أسديمة,30.896,30.838,مركز كفر الزيات
Asreega,أسريجة,30.411,31.083,مركز الباجور
Astal,أسط ال,28.381,30.67,مركز سمالوط
Astonha,أسطنها,30.468,31.117,مركز الباجور
Asaad,آسعد,30.097,31.246,قسم الساحل
Iskan Mubarak Lel-Shabab,اسكان مبارك للشباب,29.986,31.421,قسم ثالث القاهرة الجديدة
Askar,أسكر,29.539,31.297,مركز الصف
Alexandria El-Gadeeda,اسكندرية الجديدة,31.116,31.828,مركز المنزلة
Asla,أسلا,28.329,33.872,قسم الطور
Ismania,إسمانية,30.952,30.708,مركز شبراخيت
Asmant,أسمنت,27.904,30.691,مركز ابو قرقاص
Asmant,أسمنت,25.806,29.023,مركز الوحات الداخلة
Asmo El-Arous,أسم والعروس,27.637,30.762,مركز دير مواس
Asneet,أسنيت,30.538,31.249,مركز كفر شكر
Ashrouba,أشروبة,28.512,30.703,مركز بنى مزار
Ashkar,أشكر,30.751,31.821,مركز فاقوس
Ashleem,أشليم,30.523,31.121,مركز قويسنا
Ashleema,أشليمة,30.886,30.747,مركز إيتاى البارود
Ashmant,أشمنت,29.198,31.181,مركز ناصر
Ashmoun El-Romman,أشمون الرمان,31.09,31.646,مركز دكرنس
Ashnaway,أشناواي,30.801,31.067,مركز السنطة
Ashneen El-Nasara,أشنين النصاري,28.612,30.772,مركز مغاغة
Astobary,اصطباري,30.505,31.05,مركز شبين الكوم
Asfoun,أصفون,25.401,32.529,مركز إسنا
Atsa,أطسا,28.219,30.737,مركز سمالوط
Atlas G,أطلس ج,30.008,31.336,قسم الخليفة
Atlamees,أطلميس,30.944,30.501,مركز الدلنجات
Atnouh,أطنوح,31.187,27.778,قسم مرسى مطروح
Atneya,أطنيه,28.654,30.828,مركز مغاغة
Atwab,أطواب,29.385,31.215,مركز الواسطى
Atwal El-Waqf,أعط والوقف,28.553,30.745,مركز بنى مزار
Aghroumy,أغرومي,29.162,25.736,مركز سيوة
Aftomiya El-Gharbeya,أفطمية الغربية,25.996,28.695,مركز الوحات الداخلة
Aftima El-Sharqeya,أفطيمة الشرقية,25.986,28.81,مركز الوحات الداخلة
Aftima El-Qeblya,أفطيمة القبلية,25.954,28.736,مركز الوحات الداخلة
Aflaqa,أفلاقة,31.075,30.505,مركز دمنهور
Afneesh,أفنيش,31.057,31.259,مركز نبروة
Afwa,أفوة,29.346,31.199,مركز الواسطى
Aqsas,أقصاص,26.671,31.628,مركز المراغة
Aqtya,أقطية,30.975,32.801,قسم رمانة
Aqfahass,أقفهص,28.791,30.829,مركز الفشن
Aqlit,اقليت,24.512,32.886,مركز كوم امبو
Akadeemeyat El-Shorta w El-Mirage,اكاديميه الشرطه و الميراج,30.06,31.428,قسم ثان القاهرة الجديدة
Akrash,أكراش,30.761,31.517,مركز ديرب نجم
Akwa,أكوة,30.702,31.47,مركز ديرب نجم
Akwa El-Hessa,أكوة الحصة,30.74,30.838,مركز كفر الزيات
Akyad El-Bahareya,أكياد البحرية,30.731,31.902,مركز فاقوس
Akyad El-Qeblya,أكياد القبلية,30.71,31.931,مركز فاقوس
Akyad Dagwy,أكياددجوي,30.366,31.113,مركز طوخ
El-Abageya,الأباجية,30.017,31.299,قسم الخليفة
El-Ibrahimia,الابراهيمية,31.18,30.656,مركز دسوق
El-Ibrahimia,الابراهيمية,30.958,30.594,مركز إيتاى البارود
El-Ibrahimia El-Bahareya,الإبراهيميه البحريه,31.392,31.628,مركز كفر سعد
El-Ibrahimia El-Qeblya,الإبراهيميه القبليه,31.375,31.629,مركز كفر سعد
El-Abreeqgy,الأبريقجي,31.078,30.612,مركز الرحمانية
El-Abtal,الأبط ال,30.826,32.328,قسم القنطرة شرق
El-Abadeya El-Bahareya,الأبعادية البحرية,31.5,31.052,مركز الحامول
El-Abqaeen,الأبقعين,30.841,30.352,مركز حوش عيسى
El-Ablaq,الأبلق,26.991,31.351,مركز صدفا
El-Abyary,الأبياري,30.342,31.232,مركز طوخ
El-Etihad,الاتحاد,31.131,31.831,مركز ميت سلسيل
El-Ataka,الأتكة,29.844,32.485,قسم عتاقة
El-Atlat,الأتلات,28.448,30.749,مركز مطاى
El-Ahaywa Sharq,الأحايوةشرق,26.461,31.826,مركز أخميم
El-Ahaywa Gharb,الأحايوةغرب,26.448,31.801,مركز العسيرات
El-Ahrar,الأحرار,24.961,32.786,مركز أدفو
El-Ahrar,الأحرار,31.013,32.559,قسم رمانة
El-Ahraz,الأحراز,30.705,31.614,مركز أبوكبير
El-Ahraz,الأحراز,30.34,31.307,مركز شبين القناطر
El-Ehsania,الاحسانية,30.673,31.561,مركز ههيا
El-Ahmadeya,الاحمدية,31.2,31.963,مركز المنزلة
El-Ahmadeya,الأحمدية,31.193,31.585,مركز شربين
El-Ahmadeen,الأحمدين,30.059,31.231,قسم بولاق
El-Ahyaa,الأحياء,27.427,33.609,قسم ثان الغردقة
El-Akharasa,الأخارسة,30.83,32.24,مركز القنطرة
El-Ekhsas,الاخصاص,29.709,31.294,مركز الصف
El-Ekhsas,الاخصاص,30.191,31.092,مركز إمبابة
El-Ekhsas,الاخصاص,28.111,30.725,قسم المنيا
El-Ekhsas,الأخصاص,29.391,30.9,مركز سنورس
El-Akhmas,الأخماس,30.408,30.834,مركز السادات
El-Akhmiyeen,الأخميين,30.675,31.768,مركز فاقوس
El-Akhmiyeen,الأخميين,30.173,31.152,مركز القناطر الخيرية
El-Akhywa,الاخيوة,30.797,31.975,مركز الحسينية
El-Edara,الادارة,27.81,30.793,مركز ملوى
El-Adabeya,الأدبية,29.793,32.437,قسم عتاقة
El-Arbaeen,الأربعين,31.249,31.718,مركز فارسكور
El-Azhar,الأزهر,30.047,31.262,قسم الجمالية
El-Esbaeya,الأسباعية,28.817,33.977,قسم سانت كاترين
El-Estad,الاستاد,30.069,31.307,قسم ثانمدينةنصر
El-Asadeya,الأسدية,30.612,31.707,مركز أبو حماد
El-Ismailia,الاسماعيلية,30.047,31.236,قسم قصر النيل
El-Ismailia,الاسماعيلية,28.201,30.75,مركز المنيا
El-Ismailia Sharq? Raqm? Sabeqan?,الاسماعيليةشرق?رقم?سابقا?,30.918,32.407,قسم القنطرة شرق
El-Ismailia,الإسماعيليه,31.368,31.691,مركز كفر سعد
El-Eshara,الإشارة,30.593,31.511,قسم ثان الزقازيق
El-Ashraf,الأشراف,24.935,32.804,مركز أدفو
El-Ashraf El-Bahareya,الأشراف البحرية,26.187,32.594,مركز قنا
El-Ashraf El-Sharqeya,الأشراف الشرقية,26.096,32.786,مركز قنا
El-Ashraf El-Gharbeya,الأشراف الغربية,26.081,32.778,مركز قنا
El-Ashraf El-Qeblya,الأشراف القبلية,26.105,32.773,مركز قنا
El-Ashrak,الأشراك,31.06,30.612,مركز الرحمانية
El-Ashmouneen,الأشمونين,27.782,30.817,مركز ملوى
El-Aslab,الأصلاب,31.04,30.675,مركز شبراخيت
El-Eslah,الإصلاح,26.23,31.985,مركز البلينا
El-Eslah El-Zeraei,الاصلاح الزرراعي,30.165,31.239,مركز قليوب
El-Atarsha,الأطارشة,30.444,31.05,مركز الباجور
El-Etezaz,الإعتزاز,28.193,30.564,مركز سمالوط
El-Aaras,الأعراس,30.481,31.387,مركز منيا القمح
El-Aaqab,الأعقاب,24.285,32.909,مركز أسوان
El-Aalam,الأعلام,29.337,30.869,مركز الفيوم
El-Eghana,الإغانة,26.863,31.358,مركز طما
El-Aqadema,الأقادمة,27.03,31.253,مركز أبوتيج
El-Aqalta,الأق التة,25.695,32.612,مركز الأقصر
El-Aqawaz,الاقواز,29.639,31.31,مركز الصف
El-Akrad,الأكراد,27.231,31.148,مركز الفتح
El-Imam El-Hussein,الإمام الحسين,30.742,30.424,مركز الدلنجات
El-Imam El-Ghazaly,الإمام الغزالى,30.722,30.483,مركز الدلنجات
El-Imamein,الإمامين,30.008,31.257,قسم الخليفة
El-Omaraa,الأمراء,31.185,30.051,مركز كفر الدوار
El-Amal,الامل,30.833,30.06,مركز ابوالمطامير
El-Amal,الأمل,28.106,30.609,مركز المنيا
El-Amir Kab,الأمير كاب,24.595,32.931,مركز نصر
El-Amireya,الأميرية,30.109,31.27,قسم الزاويةالحمراء
El-Amireya,الأميرية,26.144,32.095,مركز أبو طشت
El-Anboteen,الأنبوطين,30.784,31.075,مركز السنطة
El-Angab,الأنجب,30.371,30.928,مركز أشمون
El-Andalus,الاندلس,29.977,31.666,قسم ثالث القاهرة الجديدة
El-Ansha,الأنشا,31.114,31.234,مركز المحله الكبرى
El-Ansha w El-Moneera,الانشا والمنيرة,30.036,31.237,قسم السيدة زينب
El-Ansasya,الانشاصية,30.84,31.337,مركز أجا
El-Ansheta,الانشطه,29.989,31.383,قسم ثالث القاهرة الجديدة
El-Ansar,الأنصار,29.127,30.893,مركز أهناسيا
El-Ansar,الأنصار,27.396,30.779,مركز القوصية
El-Anwar w Oshash El-Baroud,الأنوروعشش البارود,30.017,31.233,مصرالقديمة
El-Ahtam,الأهتم,31.093,33.813,قسم ثالث العريش
El-Orman,الأورمان,30.945,31.408,مركز السنبلاوين
El-Awsat Samhoud,الأوسطسمهود,26.162,32.092,مركز أبو طشت
El-Awsat Qamoula,الأوسطقمولا,25.809,32.746,مركز نقادة
El-Eiman,الايمان,30.756,29.959,مركز ابوالمطامير
El-Eiman,الأيمان,24.985,32.784,مركز أدفو
El-Eiman 1,الإيمان 1,30.639,30.735,مركز بدر
El-Eiman 2,الإيمان 2,30.663,30.729,مركز بدر
El-Eiman 3,الإيمان 3,30.683,30.691,مركز بدر
El-Bab El-Gadeed Sharqy,الباب الجديدشرقي,31.186,29.912,قسم محرم بك
El-Bab El-Gadeed w Mansha,الباب الجديدومنشا,31.192,29.908,قسم محرم بك
El-Bagehour,الباجهور,28.664,30.757,مركز العدوة
El-Bageya bel-Sheikh Youssef,الباجيةب الشيخيوسف,26.478,31.784,مركز المنشأة
El-Baroud Sharq,البارود شرق,26.945,31.387,مركز صدفا
El-Baroud Gharb,البارود غرب,26.95,31.397,مركز صدفا
El-Baskeya,الباسكية,26.264,31.948,مركز البلينا
El-Bateneya,الباطنية,30.043,31.264,قسم الدرب الأحمر
El-Bagha,الباغة,29.502,33.025,قسم رأس سدر
El-Batanoun w Hessetha,البتانونوحصتها,30.623,30.983,مركز شبين الكوم
El-Bateya,البتية,30.35,31.35,مركز مشتول السوق
El-Bagalat,البجلات,31.171,31.637,مركز منية النصر
El-Bahary Samhoud,البحريسمهود,26.159,32.006,مركز أبو طشت
El-Bahary Qamoula,البحريقمولا,25.838,32.738,مركز نقادة
El-Bakhanees,البخانيس,31.186,30.883,مركز كفر الشيخ
El-Bakhayta,البخايتة,26.594,31.622,مركز سوهاج
El-Badala,البد الة,31.103,31.443,مركز المنصورة
El-Badrawi,البدراوي,31.334,31.594,مركز كفر سعد
El-Badraman,البدرمان,27.698,30.741,مركز دير مواس
El-Badanganeya,البدنجانية,30.704,31.125,مركز السنطة
El-Baragil,البراجيل,30.076,31.163,مركز أوسيم
