shi_en,shi_ar,shi_lat,shi_lon,dis_en,dis_ar,slug,dis_lat,dis_lon,gov_en,gov_ar
Abrak Al-Hamam,أبراك الحمام,30.826,30.661,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Ibrahim,ابراهيم,28.336,30.689,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Ibrahim Hassan,إبراهيم حسن,31.055,31.854,Awlad Saqr,مركز أولاد صقر,awlad-saqr-eg1319,30.969,31.777,Sharkia,الشرقية
Ibrahim Hassanein,إبراهيم حسنين,31.276,32.322,Al-Sharq,قسم الشرق,al-sharq-eg0301,31.263,32.307,Port Said,بورسعيد
Ibrahim Farrag,ابراهيم فراج,26.54,31.689,Suhag,قسم اول سوهاج,suhag-eg2601,26.547,31.693,Suhag,سوهاج
Ibrahimiya Muhanna,ابراهيميةمهنا,30.808,30.732,Kum Hamada,مركز كوم حمادة,kum-hamada-eg1813,30.654,30.774,Behera,البحيرة
Abraq,أبرق,23.861,34.644,Shallatin,قسم شلاتين,shallatin-eg3106,23.079,34.574,Red Sea,البحر الأحمر
Abrim,ابريم,24.536,33.006,Nasr,مركز نصر,nasr-eg2805,24.373,32.932,Aswan,أسوان
Abstawa,أبستوا,31.079,31.23,Nebro,مركز نبروة,nebro-eg1221,31.129,31.297,Dakahlia,الدقهلية
Absuj,أبسوج,28.869,30.878,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,Beni Suef,بنى سويف
Absum Al-Sharqiya,أبسوم الشرقية,30.783,30.622,Kum Hamada,مركز كوم حمادة,kum-hamada-eg1813,30.654,30.774,Behera,البحيرة
Absum Al-Gharbiya,أبسوم الغربية,30.78,30.611,Kum Hamada,مركز كوم حمادة,kum-hamada-eg1813,30.654,30.774,Behera,البحيرة
Abshadat,أبشادات,27.854,30.747,Markz Mallawi,مركز ملوى,markz-mallawi-eg2412,27.775,30.801,Menia,المنيا
Abshadi,أبشادي,30.623,30.843,Al-Shuhada,مركز الشهداء,al-shuhada-eg1705,30.601,30.87,Menoufia,المنوفية
Abshaq Al-Ghazal,ابشاق الغز ال,28.475,30.737,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Abshan,أبشان,31.182,31.148,Biyalu,مركز بيلا,biyalu-eg1504,31.32,31.248,Kafr El-Shikh,كفر الشيخ
Abshawai Al-Malaq,ابشاواي الملق,30.936,31.03,Qutur,مركز قطور,qutur-eg1611,30.971,30.97,Gharbia,الغربية
Abshana wa Bani Musa,أبشناوبنيموسي,29.158,31.058,Bani Swayf,مركز بنى سويف,bani-swayf-eg2202,29.098,31.042,Beni Suef,بنى سويف
Abshish,أبشيش,30.468,31.088,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,Menoufia,المنوفية
Abto,أبطو,31.199,30.746,Disuq,مركز دسوق,disuq-eg1506,31.15,30.72,Kafr El-Shikh,كفر الشيخ
Abtuga,أبطوجة,28.531,30.751,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Ab'adiya Al-Rawda,أبعادية الروضة,31.077,30.888,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Ab'adiya Damanhur,أبعاديةدمنهور,31.037,30.403,Damanhur,مركز دمنهور,damanhur-eg1802,31.032,30.527,Behera,البحيرة
Ibn Al-Rashid,ابن الرشيد,30.071,31.236,Rud Al-Farag,قسم روضالفرج,rud-al-farag-eg0120,30.075,31.238,Cairo,القاهرة
Abnahas,أبنهس,30.574,31.12,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Abnud,أبنود,26.056,32.792,Qina,مركز قنا,qina-eg2702,26.163,32.578,Qena,قنا
Abhit Al-Hajar,أبهيت الحجر,29.411,30.835,Sinuras,مركز سنورس,sinuras-eg2305,29.441,30.815,Fayoum,الفيوم
Abu Al-Akhdar,أبو الأخضر,31.087,31.905,Manzala,مركز المنزلة,manzala-eg1207,31.153,31.958,Dakahlia,الدقهلية
Abu Al-Ata,أبو العطا,30.737,30.197,Abu-l-Matamir,مركز ابوالمطامير,abu-l-matamir-eg1803,30.773,30.144,Behera,البحيرة
Abu Al-Fita,أبو الفيته,31.095,34.11,Shaykh Zuwayd,قسم الشيخ زويد,shaykh-zuwayd-eg3408,30.918,33.971,North Sinai,شمال سيناء
Abu Al-Nawm,ابو النوم,31.184,30.083,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Abu Al-Hawl wa Abu Bakr Al-Siddiq,أبو الهول و أبو بكر الصديق,26.889,27.751,Al Farafra Oasis,مركز الفرافرة,al-farafra-oasis-eg3203,27.205,26.76,New Valley,الوادى الجديد
Abu Basal,أبو بصل,31.352,31.481,Bilqas,مركز بلقاس,bilqas-eg1208,31.344,31.379,Dakahlia,الدقهلية
Abu Bakr Al-Siddiq,أبو بكر الصديق,30.551,30.636,Badr,مركز بدر,badr-eg1818,30.547,30.679,Behera,البحيرة
Abu Jarida,أبو جريدة,31.29,31.736,Fariskur,مركز فارسكور,fariskur-eg1103,31.31,31.733,Damietta,دمياط
Abu Khuzam,ابو خزام,26.127,32.342,Nag Hammadi,مركز نجع حمادى,nag-hammadi-eg2708,26.085,32.297,Qena,قنا
Abu Dawud,أبو داود,30.921,31.585,Tamy Al-Amdid,مركز تمى الأمديد,tamy-al-amdid-eg1216,30.947,31.594,Dakahlia,الدقهلية
Abu Rashid,أبو راشد,31.36,31.604,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
Abu Sanna,ابو سنة,30.152,31.216,Qalyub,مركز قليوب,qalyub-eg1410,30.207,31.214,Kalyoubia,القليوبية
Abu Sharouf - Al-Kafrawi,أبو شروف - الكفراوى,29.048,25.546,Siwa,مركز سيوة,siwa-eg3306,28.703,25.589,Matrouh,مطروح
Abu Taha,أبو طة,31.118,31.723,Dikirnis,مركز دكرنس,dikirnis-eg1209,31.093,31.78,Dakahlia,الدقهلية
Abu Ashour,أبو عاشور,30.499,31.903,"Tal al-Kabir, al-",مركز التل الكبير,tal-al-kabir-al-eg1905,30.418,31.933,Ismailia,الإسماعيلية
Abu Uwaynat,ابو عوينات,31.001,31.735,Awlad Saqr,مركز أولاد صقر,awlad-saqr-eg1319,30.969,31.777,Sharkia,الشرقية
Abu Ayyad,ابو عياد,31.392,31.541,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
Abu Qatada wa Tashmal Nawfal Al-Jadida wa Nawfal Al-Qadima,أبو قتادة و تشمل نوفل الجديدة ونوفل القديمة,30.021,31.204,Bulaq Al-DakrUr,قسم بولاق الدكرور,bulaq-al-dakrur-eg2105,30.03,31.19,Giza,الجيزة
Abu Marzouq,أبو مرزوق,31.572,26.059,Sidi Barani,قسم سيدى برانى,sidi-barani-eg3305,30.656,25.886,Matrouh,مطروح
Abu Mazhour,أبو مزهور,31.465,26.105,Sidi Barani,قسم سيدى برانى,sidi-barani-eg3305,30.656,25.886,Matrouh,مطروح
Abu Minqar,أبو منقار,26.709,27.861,Al Farafra Oasis,مركز الفرافرة,al-farafra-oasis-eg3203,27.205,26.76,New Valley,الوادى الجديد
Abu Hurayra,ابو هريرة,26.958,27.88,Al Farafra Oasis,مركز الفرافرة,al-farafra-oasis-eg3203,27.205,26.76,New Valley,الوادى الجديد
Abu Shusha,أبوشوشة,31.199,29.885,Al Gumruk,قسم الجمرك,al-gumruk-eg0210,31.203,29.879,Alexandria,الاسكندرية
Abu Ahmad,أبو أحمد,31.314,30.836,Sidi Salim,مركز سيدى سالم,sidi-salim-eg1507,31.31,30.738,Kafr El-Shikh,كفر الشيخ
Abu Al-Jahour,أب والجهور,30.725,31.117,Santa,مركز السنطة,santa-eg1604,30.773,31.119,Gharbia,الغربية
Abu Al-Hassan,أب والحسن,31.269,32.301,Al-Arab,قسم العرب,al-arab-eg0302,31.262,32.294,Port Said,بورسعيد
Abu Al-Khawi,أب والخاوي,30.59,30.788,Kum Hamada,مركز كوم حمادة,kum-hamada-eg1813,30.654,30.774,Behera,البحيرة
Abu Al-Khidr,أب والخذر,31.091,30.365,Abu Hummus,مركز ابوحمص,abu-hummus-eg1804,31.106,30.31,Behera,البحيرة
Abu Al-Rish Bahari,أب والريشبحري,24.203,32.878,Aswan,مركز أسوان,aswan-eg2802,23.972,32.831,Aswan,أسوان
Abu Al-Rish Qibli,أب والريشقبلي,24.141,32.894,Aswan,مركز أسوان,aswan-eg2802,23.972,32.831,Aswan,أسوان
Abu Al-Sahma,أب والسحما,31.035,30.584,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Abu Al-Saud,أب والسعود,29.367,30.944,Fayyum,مركز الفيوم,fayyum-eg2302,29.3,30.955,Fayoum,الفيوم
Abu Al-Saud wa Al-Madabigh,أب والسعود والمدابغ,30.017,31.237,Misr Al-Qadima,مصرالقديمة,misr-al-qadima-eg0106,30.006,31.242,Cairo,القاهرة
Abu Al-Saliqa,أب والسليقة,31.351,25.23,Salloum,قسم السلوم,salloum-eg3303,30.646,25.255,Matrouh,مطروح
Abu Al-Shaqaf,أب والشقاف,30.888,30.429,Hush Isa,مركز حوش عيسى,hush-isa-eg1808,30.891,30.346,Behera,البحيرة
Abu Al-Shuquq,أب والشقوق,30.833,31.617,Kafr Saqr,مركز كفر صقر,kafr-saqr-eg1313,30.837,31.675,Sharkia,الشرقية
Abu Al-Safa,أبو الصفا,27.907,30.74,Markz Abu Qurqas,مركز ابو قرقاص,markz-abu-qurqas-eg2404,27.939,30.77,Menia,المنيا
Abu Al-Sayr,أب والصير,30.914,31.541,Tamy Al-Amdid,مركز تمى الأمديد,tamy-al-amdid-eg1216,30.947,31.594,Dakahlia,الدقهلية
Abu Al-Abbas,أب والعباس,29.534,31.233,Ayat,مركز العياط,ayat-eg2112,29.564,31.25,Giza,الجيزة
Abu Al-Abbas,أب والعباس,28.513,30.75,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Abu Al-Araj,أب والعراج,31.075,33.955,Shaykh Zuwayd,قسم الشيخ زويد,shaykh-zuwayd-eg3408,30.918,33.971,North Sinai,شمال سيناء
Abu Al-Ala,أب والعلا,30.056,31.232,Bulaq,قسم بولاق,bulaq-eg0112,30.062,31.234,Cairo,القاهرة
Abu Al-Ghur,أب والغر,30.778,30.86,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Abu Al-Gheit,أب والغيط,30.152,31.185,Qanatir Al-Khayriyya,مركز القناطر الخيرية,qanatir-al-khayriyya-eg1404,30.214,31.135,Kalyoubia,القليوبية
Abu Al-Fida,أب والفدا,30.068,31.22,Zamalik,قسم الزمالك,zamalik-eg0133,30.056,31.223,Cairo,القاهرة
Abu Al-Matamir Al-Bahariya,أبوالمطامير البحرية,30.884,30.104,Abu-l-Matamir,مركز ابوالمطامير,abu-l-matamir-eg1803,30.773,30.144,Behera,البحيرة
Abu Al-Maati Al-Baz,أب والمعاطي الباز,31.025,31.735,Bany Abeed,مركز بنى عبيد,bany-abeed-eg1218,31.024,31.648,Dakahlia,الدقهلية
Abu Al-Najah,أب والنجاه,31.143,31.177,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Abu Al-Nawatir,أب والنواتير,31.225,29.955,Sidi Gabir,قسم سيدى جابر,sidi-gabir-eg0203,31.216,29.949,Alexandria,الاسكندرية
Abu Al-Hadar,أب والهدر,27.608,30.749,Dayrut,مركز ديروط,dayrut-eg2510,27.537,30.782,Assiut,أسيوط
Abu Bisht,أبوبشت,28.632,30.715,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Abu Bakr Al-Siddiq,أبو بكر الصديق,26.632,31.49,Guhayna Al-Gharbiyya,مركز جهينة الغربية,guhayna-al-gharbiyya-eg2611,26.689,31.471,Suhag,سوهاج
Abu Tamada,أبوتمادة,31.161,30.939,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Abu Jurj,أبوجرج,28.53,30.79,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Abu Ja'da,أبوجعدة,29.295,33.055,Ras Sidr,قسم رأس سدر,ras-sidr-eg3502,29.599,33.317,South Sinai,جنوب سيناء
Abu Jalal,أبوجل ال,31.278,31.557,Shirbin,مركز شربين,shirbin-eg1210,31.261,31.576,Dakahlia,الدقهلية
Abu Jandir,أبوجندير,29.242,30.682,Atsa,مركز أطسا,atsa-eg2304,29.208,30.767,Fayoum,الفيوم
Abu Hariz,أبوحريز,30.877,31.7,Kafr Saqr,مركز كفر صقر,kafr-saqr-eg1313,30.837,31.675,Sharkia,الشرقية
Abu Hasiba,ابوحسيبة,28.415,30.806,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Abu Kharash,أبوخراش,31.068,30.59,Al-Rahmaniyya,مركز الرحمانية,al-rahmaniyya-eg1815,31.106,30.584,Behera,البحيرة
Abu Khurs,أبوخرص,27.005,31.25,Abu Tig,مركز أبوتيج,abu-tig-eg2505,27.037,31.289,Assiut,أسيوط
Abu Khalqa,أبوخلقة,27.645,30.741,Markz Dir Mawas,مركز دير مواس,markz-dir-mawas-eg2407,27.655,30.79,Menia,المنيا
Abu Khalifa,أبوخليفة,30.664,32.222,"Qantara Gharb, al-",مركز القنطرة,qantara-gharb-al-eg1906,30.742,32.245,Ismailia,الإسماعيلية
Abu Khalil,أبوخليل,27.358,30.863,Al-Qusia,مركز القوصية,al-qusia-eg2509,27.403,30.826,Assiut,أسيوط
Abu Khawda,أبوخودة,30.066,31.271,Al Zahir,قسم الظاهر,al-zahir-eg0117,30.063,31.268,Cairo,القاهرة
Abu Dawud Al-Inab,أبوداود العنب,30.881,31.371,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Abu Daraz,أبودراز,31.225,30.613,Fuwwa,مركز فوه,fuwwa-eg1508,31.232,30.564,Kafr El-Shikh,كفر الشيخ
Abu Durra,أبودرة,31.013,30.631,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Abu Dishisha,أبودشيشة,31.312,31.358,Bilqas,مركز بلقاس,bilqas-eg1208,31.344,31.379,Dakahlia,الدقهلية
Abu Dafiya,أبودفية,29.192,30.816,Atsa,مركز أطسا,atsa-eg2304,29.208,30.767,Fayoum,الفيوم
Abu Danqash,أبودنقاش,29.289,30.674,Abshaway,مركز أبشواى,abshaway-eg2303,29.374,30.69,Fayoum,الفيوم
Abu Diyab Sharq,أبوديابشرق,26.196,32.545,Dishna,مركز دشنا,dishna-eg2706,26.142,32.444,Qena,قنا
Abu Diyab Gharb,أبوديابغرب,26.174,32.551,Dishna,مركز دشنا,dishna-eg2706,26.142,32.444,Qena,قنا
Abu Rajwan Al-Bahari,أبورجوان البحري,29.812,31.279,Badrashain,مركز البدرشين,badrashain-eg2110,29.824,31.258,Giza,الجيزة
Abu Rajwan Al-Qibli,أبورجوان القبلي,29.78,31.262,Badrashain,مركز البدرشين,badrashain-eg2110,29.824,31.258,Giza,الجيزة
Abu Raqaba,أبورقبة,30.277,31.027,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Abu Rawash,أبورواش,30.07,31.085,Kardasa,مركز كرداسة,kardasa-eg2120,30.051,31.134,Giza,الجيزة
Abu Ruwaish,أبورويش,29.673,31.236,Ayat,مركز العياط,ayat-eg2112,29.564,31.25,Giza,الجيزة
Abu Riya,أبورية,31.26,30.962,Riyad,مركز الرياض,riyad-eg1512,31.321,30.92,Kafr El-Shikh,كفر الشيخ
Abu Zurayba,أبوزريبة,31.477,25.341,Salloum,قسم السلوم,salloum-eg3303,30.646,25.255,Matrouh,مطروح
Abu Zaabal,أبوزعبل,30.266,31.359,Al Khanka,مركز الخانكة,al-khanka-eg1403,30.231,31.358,Kalyoubia,القليوبية
Abu Zeid,أبوزيد,30.793,31.259,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Abu Sa'ifa,أبوسعيفة,30.86,30.526,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,Behera,البحيرة
Abu Sultan,أبوسلطان,30.41,32.322,Fayid,مركز فايد,fayid-eg1907,30.366,32.292,Ismailia,الإسماعيلية
Abu Sanita,أبوسنيطة,30.405,31.053,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,Menoufia,المنوفية
Abu Sayyidhum,أبوسيدهم,28.344,30.634,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Abu Sila,أبوسيلة,28.485,34.052,Sant Katrin,قسم سانت كاترين,sant-katrin-eg3504,28.66,34.052,South Sinai,جنوب سيناء
Abu Shahata,أبوشحاتة,28.406,30.789,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Abu Sharban,أبوشربان,28.971,30.951,Biba,مركز ببا,biba-eg2207,28.951,30.967,Beni Suef,بنى سويف
Abu Sharif,أبوشريف,31.383,31.297,Bilqas,مركز بلقاس,bilqas-eg1208,31.344,31.379,Dakahlia,الدقهلية
Abu Shanar,أبوشنار,31.266,34.188,Rafah,قسم رفح,rafah-eg3409,31.087,34.227,North Sinai,شمال سيناء
Abu Shusha,أبوشوشة,26.169,32.059,Abu Tisht,مركز أبو طشت,abu-tisht-eg2703,26.13,32.086,Qena,قنا
Abu Samada,أبوصمادة,30.802,30.584,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,Behera,البحيرة
Abu Suweir Al-Balad,أبوصوير البلد,30.587,32.133,Ismailiyya,مركز الاسماعيلية,ismailiyya-eg1904,30.426,32.183,Ismailia,الإسماعيلية
Abu Suweir Al-Mahatta,أبوصوير المحطة,30.583,32.194,Ismailiyya,مركز الاسماعيلية,ismailiyya-eg1904,30.426,32.183,Ismailia,الإسماعيلية
Abu Suweira,أبوصويرة,29.575,32.893,Ras Sidr,قسم رأس سدر,ras-sidr-eg3502,29.599,33.317,South Sinai,جنوب سيناء
Abu Sir,أبوصير,30.935,29.497,Burg al-Arab,قسم برج العرب,burg-al-arab-eg0214,30.901,29.494,Alexandria,الاسكندرية
Abu Sir,أبوصير,29.899,31.215,Badrashain,مركز البدرشين,badrashain-eg2110,29.824,31.258,Giza,الجيزة
Abu Sir Al-Malaq,أبوصير الملق,29.242,31.098,Al Wasta,مركز الواسطى,al-wasta-eg2205,29.324,31.17,Beni Suef,بنى سويف
Abu Sir Dafnu,أبوصيردفنو,29.255,30.815,Atsa,مركز أطسا,atsa-eg2304,29.208,30.767,Fayoum,الفيوم
Abu Sirina,أبوصيرينا,30.926,31.231,Samannud,مركز سمنود,samannud-eg1610,30.95,31.221,Gharbia,الغربية
Abu Talib,أبو طالب,29.409,30.945,Tamya,مركز طامية,tamya-eg2306,29.467,30.982,Fayoum,الفيوم
Abu Taha,أبوطه,31.28,31.42,Bilqas,مركز بلقاس,bilqas-eg1208,31.344,31.379,Dakahlia,الدقهلية
Abu Tawala,أبوط والة,30.583,31.353,Minya al-Qamh,مركز منيا القمح,minya-al-qamh-eg1314,30.507,31.369,Sharkia,الشرقية
Abu Tawila,أبوطويلة,31.075,34.028,Shaykh Zuwayd,قسم الشيخ زويد,shaykh-zuwayd-eg3408,30.918,33.971,North Sinai,شمال سيناء
Abu Aziz,أبوعزيز,28.421,30.819,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Abu Aziz,أبوعزيز,26.597,31.565,Al-Maragha,مركز المراغة,al-maragha-eg2606,26.669,31.588,Suhag,سوهاج
Abu Aliwa,أبو عليوة,31.245,30.821,Sidi Salim,مركز سيدى سالم,sidi-salim-eg1507,31.31,30.738,Kafr El-Shikh,كفر الشيخ
Abu Amouri,أبوعموري,26.017,32.214,Nag Hammadi,مركز نجع حمادى,nag-hammadi-eg2708,26.085,32.297,Qena,قنا
Abu Awali wa Mansha'atuha,أبوع واليومنشأتها,30.296,30.932,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Abu Eid,أبوعيد,30.759,31.422,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Abu Ghalib,أبو غالب,30.264,30.94,Imbaba,مركز إمبابة,imbaba-eg2113,30.22,30.963,Giza,الجيزة
Abu Gharaqid,أبوغراقد,28.956,33.33,Abu Radis,قسم أبو رديس,abu-radis-eg3503,29.049,33.598,South Sinai,جنوب سيناء
Abu Ghusun,أبوغصون,24.282,35.335,Marsa Alam,قسم مرسى علم,marsa-alam-eg3104,24.707,34.286,Red Sea,البحر الأحمر
Abu Ghunaima,أبوغنيمة,31.276,30.634,Sidi Salim,مركز سيدى سالم,sidi-salim-eg1507,31.31,30.738,Kafr El-Shikh,كفر الشيخ
Abu Qaramit,أبوقراميط,30.838,31.556,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Abu Qurqas,أبو قرقاص,27.934,30.835,Markz Abu Qurqas,مركز ابو قرقاص,markz-abu-qurqas-eg2404,27.939,30.77,Menia,المنيا
Abu Qalta,أبوقلته,27.807,30.734,Markz Mallawi,مركز ملوى,markz-mallawi-eg2412,27.775,30.801,Menia,المنيا
Abu Qir Al-Sharqiya,أبو قير الشرقية,31.324,30.068,Muntazah,قسم المنتزة,muntazah-eg0201,31.264,30.03,Alexandria,الاسكندرية
Abu Qir Al-Gharbiya,أبو قير الغربية,31.309,30.061,Muntazah,قسم المنتزة,muntazah-eg0201,31.264,30.03,Alexandria,الاسكندرية
Abu Karim,أبوكريم,27.594,30.696,Dayrut,مركز ديروط,dayrut-eg2510,27.537,30.782,Assiut,أسيوط
Abu Kasah,أبوكساه,29.386,30.703,Abshaway,مركز أبشواى,abshaway-eg2303,29.374,30.69,Fayoum,الفيوم
Abu Kals,أبوكلس,30.611,30.847,Al-Shuhada,مركز الشهداء,al-shuhada-eg1705,30.601,30.87,Menoufia,المنوفية
Abu Al-Hawl Al-Bahariya,أبوله والبحرية,31.454,26.699,Marsa Matruh,قسم مرسى مطروح,marsa-matruh-eg3301,30.022,26.997,Matrouh,مطروح
Abu Al-Hawl Al-Janoubiya,أبوله والجنوبية,31.309,26.837,Marsa Matruh,قسم مرسى مطروح,marsa-matruh-eg3301,30.022,26.997,Matrouh,مطروح
Abu Marqiq,أبومرقيق,31.177,27.751,Marsa Matruh,قسم مرسى مطروح,marsa-matruh-eg3301,30.022,26.997,Matrouh,مطروح
Abu Masoud,أبو مسعود,30.947,30.519,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,Behera,البحيرة
Abu Mashhour,أبومشهور,30.698,31.058,Birkat Al-Sab,مركز بركة السبع,birkat-al-sab-eg1706,30.651,31.108,Menoufia,المنوفية
Abu Mashifa,أبومشيفة,31.347,25.861,Sidi Barani,قسم سيدى برانى,sidi-barani-eg3305,30.656,25.886,Matrouh,مطروح
Abu Mustafa,أبو مصطفي,31.36,30.876,Riyad,مركز الرياض,riyad-eg1512,31.321,30.92,Kafr El-Shikh,كفر الشيخ
Abu Mina Bahari,أبومناعبحري,26.147,32.355,Dishna,مركز دشنا,dishna-eg2706,26.142,32.444,Qena,قنا
Abu Mina Sharq,أبومناعشرق,26.181,32.479,Dishna,مركز دشنا,dishna-eg2706,26.142,32.444,Qena,قنا
Abu Mina Gharb,أبومناعغرب,26.151,32.438,Dishna,مركز دشنا,dishna-eg2706,26.142,32.444,Qena,قنا
Abu Mina Qibli,أبومناعقبلي,26.157,32.476,Dishna,مركز دشنا,dishna-eg2706,26.142,32.444,Qena,قنا
Abu Manjouj,أبو من ج و ج,30.934,30.743,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Abu Nashaba,أبونشابة,30.383,30.861,Sadat City,مركز السادات,sadat-city-eg1711,30.358,30.661,Menoufia,المنوفية
