neighborhood_en,neighborhood_ar,lat,lon,district_id,district_en,district_ar,governorate_en,governorate_ar
Abar Al-Malik,آبار الملك,26.599,31.743,akhmim-eg2604,Akhmim,مركز أخميم,Suhag,سوهاج
Abar Al-Waqf,آبار الوقف,26.622,31.744,akhmim-eg2604,Akhmim,مركز أخميم,Suhag,سوهاج
Abtuk,أبتوك,30.947,30.727,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Abjaj Al-Hatab,أبجاج الحطب,28.457,30.638,markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا
Abjij,أبجيج,29.287,30.807,fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم
Abkhas,ابخاص,30.429,31.066,al-bagur-eg1704,Al-Bagur,مركز الباجور,Menoufia,المنوفية
Abrash,أبراش,30.419,31.369,mashtul-al-suq-eg1316,Mashtul Al-Suq,مركز مشتول السوق,Sharkia,الشرقية
Abrak Al-Hamam,أبراك الحمام,30.826,30.661,itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة
Ibrahim,ابراهيم,28.336,30.689,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
Ibrahim Hassan,إبراهيم حسن,31.055,31.854,awlad-saqr-eg1319,Awlad Saqr,مركز أولاد صقر,Sharkia,الشرقية
Ibrahim Hassanein,إبراهيم حسنين,31.276,32.322,al-sharq-eg0301,Al-Sharq,قسم الشرق,Port Said,بورسعيد
Ibrahim Farrag,ابراهيم فراج,26.54,31.689,suhag-eg2601,Suhag,قسم اول سوهاج,Suhag,سوهاج
Ibrahimiya Muhanna,ابراهيميةمهنا,30.808,30.732,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
Abraq,أبرق,23.861,34.644,shallatin-eg3106,Shallatin,قسم شلاتين,Red Sea,البحر الأحمر
Abrim,ابريم,24.536,33.006,nasr-eg2805,Nasr,مركز نصر,Aswan,أسوان
Abstawa,أبستوا,31.079,31.23,nebro-eg1221,Nebro,مركز نبروة,Dakahlia,الدقهلية
Absuj,أبسوج,28.869,30.878,al-fashn-eg2204,Al Fashn,مركز الفشن,Beni Suef,بنى سويف
Absum Al-Sharqiya,أبسوم الشرقية,30.783,30.622,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
Absum Al-Gharbiya,أبسوم الغربية,30.78,30.611,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
Abshadat,أبشادات,27.854,30.747,markz-mallawi-eg2412,Markz Mallawi,مركز ملوى,Menia,المنيا
Abshadi,أبشادي,30.623,30.843,al-shuhada-eg1705,Al-Shuhada,مركز الشهداء,Menoufia,المنوفية
Abshaq Al-Ghazal,ابشاق الغز ال,28.475,30.737,markz-bani-mazar-eg2406,Markz Bani Mazar,مركز بنى مزار,Menia,المنيا
Abshan,أبشان,31.182,31.148,biyalu-eg1504,Biyalu,مركز بيلا,Kafr El-Shikh,كفر الشيخ
Abshawai Al-Malaq,ابشاواي الملق,30.936,31.03,qutur-eg1611,Qutur,مركز قطور,Gharbia,الغربية
Abshana wa Bani Musa,أبشناوبنيموسي,29.158,31.058,bani-swayf-eg2202,Bani Swayf,مركز بنى سويف,Beni Suef,بنى سويف
Abshish,أبشيش,30.468,31.088,al-bagur-eg1704,Al-Bagur,مركز الباجور,Menoufia,المنوفية
Abto,أبطو,31.199,30.746,disuq-eg1506,Disuq,مركز دسوق,Kafr El-Shikh,كفر الشيخ
Abtuga,أبطوجة,28.531,30.751,markz-bani-mazar-eg2406,Markz Bani Mazar,مركز بنى مزار,Menia,المنيا
Ab'adiya Al-Rawda,أبعادية الروضة,31.077,30.888,kafr-al-shaykh-eg1502,Kafr Al-Shaykh,مركز كفر الشيخ,Kafr El-Shikh,كفر الشيخ
Ab'adiya Damanhur,أبعاديةدمنهور,31.037,30.403,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ibn Al-Rashid,ابن الرشيد,30.071,31.236,rud-al-farag-eg0120,Rud Al-Farag,قسم روضالفرج,Cairo,القاهرة
Abnahas,أبنهس,30.574,31.12,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
Abnud,أبنود,26.056,32.792,qina-eg2702,Qina,مركز قنا,Qena,قنا
Abhit Al-Hajar,أبهيت الحجر,29.411,30.835,sinuras-eg2305,Sinuras,مركز سنورس,Fayoum,الفيوم
Abu Al-Akhdar,أبو الأخضر,31.087,31.905,manzala-eg1207,Manzala,مركز المنزلة,Dakahlia,الدقهلية
Abu Al-Ata,أبو العطا,30.737,30.197,abu-l-matamir-eg1803,Abu-l-Matamir,مركز ابوالمطامير,Behera,البحيرة
Abu Al-Fita,أبو الفيته,31.095,34.11,shaykh-zuwayd-eg3408,Shaykh Zuwayd,قسم الشيخ زويد,North Sinai,شمال سيناء
Abu Al-Nawm,ابو النوم,31.184,30.083,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Abu Al-Hawl wa Abu Bakr Al-Siddiq,أبو الهول و أبو بكر الصديق,26.889,27.751,al-farafra-oasis-eg3203,Al Farafra Oasis,مركز الفرافرة,New Valley,الوادى الجديد
Abu Basal,أبو بصل,31.352,31.481,bilqas-eg1208,Bilqas,مركز بلقاس,Dakahlia,الدقهلية
Abu Bakr Al-Siddiq,أبو بكر الصديق,30.551,30.636,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Abu Jarida,أبو جريدة,31.29,31.736,fariskur-eg1103,Fariskur,مركز فارسكور,Damietta,دمياط
Abu Khuzam,ابو خزام,26.127,32.342,nag-hammadi-eg2708,Nag Hammadi,مركز نجع حمادى,Qena,قنا
Abu Dawud,أبو داود,30.921,31.585,tamy-al-amdid-eg1216,Tamy Al-Amdid,مركز تمى الأمديد,Dakahlia,الدقهلية
Abu Rashid,أبو راشد,31.36,31.604,kafr-sad-eg1104,Kafr Sad,مركز كفر سعد,Damietta,دمياط
Abu Sanna,ابو سنة,30.152,31.216,qalyub-eg1410,Qalyub,مركز قليوب,Kalyoubia,القليوبية
Abu Sharouf - Al-Kafrawi,أبو شروف - الكفراوى,29.048,25.546,siwa-eg3306,Siwa,مركز سيوة,Matrouh,مطروح
Abu Taha,أبو طة,31.118,31.723,dikirnis-eg1209,Dikirnis,مركز دكرنس,Dakahlia,الدقهلية
Abu Ashour,أبو عاشور,30.499,31.903,tal-al-kabir-al-eg1905,"Tal al-Kabir, al-",مركز التل الكبير,Ismailia,الإسماعيلية
Abu Uwaynat,ابو عوينات,31.001,31.735,awlad-saqr-eg1319,Awlad Saqr,مركز أولاد صقر,Sharkia,الشرقية
Abu Ayyad,ابو عياد,31.392,31.541,kafr-sad-eg1104,Kafr Sad,مركز كفر سعد,Damietta,دمياط
Abu Qatada wa Tashmal Nawfal Al-Jadida wa Nawfal Al-Qadima,أبو قتادة و تشمل نوفل الجديدة ونوفل القديمة,30.021,31.204,bulaq-al-dakrur-eg2105,Bulaq Al-DakrUr,قسم بولاق الدكرور,Giza,الجيزة
Abu Marzouq,أبو مرزوق,31.572,26.059,sidi-barani-eg3305,Sidi Barani,قسم سيدى برانى,Matrouh,مطروح
Abu Mazhour,أبو مزهور,31.465,26.105,sidi-barani-eg3305,Sidi Barani,قسم سيدى برانى,Matrouh,مطروح
Abu Minqar,أبو منقار,26.709,27.861,al-farafra-oasis-eg3203,Al Farafra Oasis,مركز الفرافرة,New Valley,الوادى الجديد
Abu Hurayra,ابو هريرة,26.958,27.88,al-farafra-oasis-eg3203,Al Farafra Oasis,مركز الفرافرة,New Valley,الوادى الجديد
Abu Shusha,أبوشوشة,31.199,29.885,al-gumruk-eg0210,Al Gumruk,قسم الجمرك,Alexandria,الاسكندرية
Abu Ahmad,أبو أحمد,31.314,30.836,sidi-salim-eg1507,Sidi Salim,مركز سيدى سالم,Kafr El-Shikh,كفر الشيخ
Abu Al-Jahour,أب والجهور,30.725,31.117,santa-eg1604,Santa,مركز السنطة,Gharbia,الغربية
Abu Al-Hassan,أب والحسن,31.269,32.301,al-arab-eg0302,Al-Arab,قسم العرب,Port Said,بورسعيد
Abu Al-Khawi,أب والخاوي,30.59,30.788,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
Abu Al-Khidr,أب والخذر,31.091,30.365,abu-hummus-eg1804,Abu Hummus,مركز ابوحمص,Behera,البحيرة
Abu Al-Rish Bahari,أب والريشبحري,24.203,32.878,aswan-eg2802,Aswan,مركز أسوان,Aswan,أسوان
Abu Al-Rish Qibli,أب والريشقبلي,24.141,32.894,aswan-eg2802,Aswan,مركز أسوان,Aswan,أسوان
Abu Al-Sahma,أب والسحما,31.035,30.584,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Abu Al-Saud,أب والسعود,29.367,30.944,fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم
Abu Al-Saud wa Al-Madabigh,أب والسعود والمدابغ,30.017,31.237,misr-al-qadima-eg0106,Misr Al-Qadima,مصرالقديمة,Cairo,القاهرة
Abu Al-Saliqa,أب والسليقة,31.351,25.23,salloum-eg3303,Salloum,قسم السلوم,Matrouh,مطروح
Abu Al-Shaqaf,أب والشقاف,30.888,30.429,hush-isa-eg1808,Hush Isa,مركز حوش عيسى,Behera,البحيرة
Abu Al-Shuquq,أب والشقوق,30.833,31.617,kafr-saqr-eg1313,Kafr Saqr,مركز كفر صقر,Sharkia,الشرقية
Abu Al-Safa,أبو الصفا,27.907,30.74,markz-abu-qurqas-eg2404,Markz Abu Qurqas,مركز ابو قرقاص,Menia,المنيا
Abu Al-Sayr,أب والصير,30.914,31.541,tamy-al-amdid-eg1216,Tamy Al-Amdid,مركز تمى الأمديد,Dakahlia,الدقهلية
Abu Al-Abbas,أب والعباس,29.534,31.233,ayat-eg2112,Ayat,مركز العياط,Giza,الجيزة
Abu Al-Abbas,أب والعباس,28.513,30.75,markz-bani-mazar-eg2406,Markz Bani Mazar,مركز بنى مزار,Menia,المنيا
Abu Al-Araj,أب والعراج,31.075,33.955,shaykh-zuwayd-eg3408,Shaykh Zuwayd,قسم الشيخ زويد,North Sinai,شمال سيناء
Abu Al-Ala,أب والعلا,30.056,31.232,bulaq-eg0112,Bulaq,قسم بولاق,Cairo,القاهرة
Abu Al-Ghur,أب والغر,30.778,30.86,kafr-al-zayyat-eg1612,Kafr Al-Zayyat,مركز كفر الزيات,Gharbia,الغربية
Abu Al-Gheit,أب والغيط,30.152,31.185,qanatir-al-khayriyya-eg1404,Qanatir Al-Khayriyya,مركز القناطر الخيرية,Kalyoubia,القليوبية
Abu Al-Fida,أب والفدا,30.068,31.22,zamalik-eg0133,Zamalik,قسم الزمالك,Cairo,القاهرة
Abu Al-Matamir Al-Bahariya,أبوالمطامير البحرية,30.884,30.104,abu-l-matamir-eg1803,Abu-l-Matamir,مركز ابوالمطامير,Behera,البحيرة
Abu Al-Maati Al-Baz,أب والمعاطي الباز,31.025,31.735,bany-abeed-eg1218,Bany Abeed,مركز بنى عبيد,Dakahlia,الدقهلية
Abu Al-Najah,أب والنجاه,31.143,31.177,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
Abu Al-Nawatir,أب والنواتير,31.225,29.955,sidi-gabir-eg0203,Sidi Gabir,قسم سيدى جابر,Alexandria,الاسكندرية
Abu Al-Hadar,أب والهدر,27.608,30.749,dayrut-eg2510,Dayrut,مركز ديروط,Assiut,أسيوط
Abu Bisht,أبوبشت,28.632,30.715,markz-maghagha-eg2410,Markz Maghagha,مركز مغاغة,Menia,المنيا
Abu Bakr Al-Siddiq,أبو بكر الصديق,26.632,31.49,guhayna-al-gharbiyya-eg2611,Guhayna Al-Gharbiyya,مركز جهينة الغربية,Suhag,سوهاج
Abu Tamada,أبوتمادة,31.161,30.939,kafr-al-shaykh-eg1502,Kafr Al-Shaykh,مركز كفر الشيخ,Kafr El-Shikh,كفر الشيخ
Abu Jurj,أبوجرج,28.53,30.79,markz-bani-mazar-eg2406,Markz Bani Mazar,مركز بنى مزار,Menia,المنيا
Abu Ja'da,أبوجعدة,29.295,33.055,ras-sidr-eg3502,Ras Sidr,قسم رأس سدر,South Sinai,جنوب سيناء
Abu Jalal,أبوجل ال,31.278,31.557,shirbin-eg1210,Shirbin,مركز شربين,Dakahlia,الدقهلية
Abu Jandir,أبوجندير,29.242,30.682,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
Abu Hariz,أبوحريز,30.877,31.7,kafr-saqr-eg1313,Kafr Saqr,مركز كفر صقر,Sharkia,الشرقية
Abu Hasiba,ابوحسيبة,28.415,30.806,markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا
Abu Kharash,أبوخراش,31.068,30.59,al-rahmaniyya-eg1815,Al-Rahmaniyya,مركز الرحمانية,Behera,البحيرة
Abu Khurs,أبوخرص,27.005,31.25,abu-tig-eg2505,Abu Tig,مركز أبوتيج,Assiut,أسيوط
Abu Khalqa,أبوخلقة,27.645,30.741,markz-dir-mawas-eg2407,Markz Dir Mawas,مركز دير مواس,Menia,المنيا
Abu Khalifa,أبوخليفة,30.664,32.222,qantara-gharb-al-eg1906,"Qantara Gharb, al-",مركز القنطرة,Ismailia,الإسماعيلية
Abu Khalil,أبوخليل,27.358,30.863,al-qusia-eg2509,Al-Qusia,مركز القوصية,Assiut,أسيوط
Abu Khawda,أبوخودة,30.066,31.271,al-zahir-eg0117,Al Zahir,قسم الظاهر,Cairo,القاهرة
Abu Dawud Al-Inab,أبوداود العنب,30.881,31.371,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Abu Daraz,أبودراز,31.225,30.613,fuwwa-eg1508,Fuwwa,مركز فوه,Kafr El-Shikh,كفر الشيخ
Abu Durra,أبودرة,31.013,30.631,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Abu Dishisha,أبودشيشة,31.312,31.358,bilqas-eg1208,Bilqas,مركز بلقاس,Dakahlia,الدقهلية
Abu Dafiya,أبودفية,29.192,30.816,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
Abu Danqash,أبودنقاش,29.289,30.674,abshaway-eg2303,Abshaway,مركز أبشواى,Fayoum,الفيوم
Abu Diyab Sharq,أبوديابشرق,26.196,32.545,dishna-eg2706,Dishna,مركز دشنا,Qena,قنا
Abu Diyab Gharb,أبوديابغرب,26.174,32.551,dishna-eg2706,Dishna,مركز دشنا,Qena,قنا
Abu Rajwan Al-Bahari,أبورجوان البحري,29.812,31.279,badrashain-eg2110,Badrashain,مركز البدرشين,Giza,الجيزة
Abu Rajwan Al-Qibli,أبورجوان القبلي,29.78,31.262,badrashain-eg2110,Badrashain,مركز البدرشين,Giza,الجيزة
Abu Raqaba,أبورقبة,30.277,31.027,ashmun-eg1703,Ashmun,مركز أشمون,Menoufia,المنوفية
Abu Rawash,أبورواش,30.07,31.085,kardasa-eg2120,Kardasa,مركز كرداسة,Giza,الجيزة
Abu Ruwaish,أبورويش,29.673,31.236,ayat-eg2112,Ayat,مركز العياط,Giza,الجيزة
Abu Riya,أبورية,31.26,30.962,riyad-eg1512,Riyad,مركز الرياض,Kafr El-Shikh,كفر الشيخ
Abu Zurayba,أبوزريبة,31.477,25.341,salloum-eg3303,Salloum,قسم السلوم,Matrouh,مطروح
Abu Zaabal,أبوزعبل,30.266,31.359,al-khanka-eg1403,Al Khanka,مركز الخانكة,Kalyoubia,القليوبية
Abu Zeid,أبوزيد,30.793,31.259,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Abu Sa'ifa,أبوسعيفة,30.86,30.526,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Abu Sultan,أبوسلطان,30.41,32.322,fayid-eg1907,Fayid,مركز فايد,Ismailia,الإسماعيلية
Abu Sanita,أبوسنيطة,30.405,31.053,al-bagur-eg1704,Al-Bagur,مركز الباجور,Menoufia,المنوفية
Abu Sayyidhum,أبوسيدهم,28.344,30.634,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
Abu Sila,أبوسيلة,28.485,34.052,sant-katrin-eg3504,Sant Katrin,قسم سانت كاترين,South Sinai,جنوب سيناء
Abu Shahata,أبوشحاتة,28.406,30.789,markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا
Abu Sharban,أبوشربان,28.971,30.951,biba-eg2207,Biba,مركز ببا,Beni Suef,بنى سويف
Abu Sharif,أبوشريف,31.383,31.297,bilqas-eg1208,Bilqas,مركز بلقاس,Dakahlia,الدقهلية
Abu Shanar,أبوشنار,31.266,34.188,rafah-eg3409,Rafah,قسم رفح,North Sinai,شمال سيناء
Abu Shusha,أبوشوشة,26.169,32.059,abu-tisht-eg2703,Abu Tisht,مركز أبو طشت,Qena,قنا
Abu Samada,أبوصمادة,30.802,30.584,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Abu Suweir Al-Balad,أبوصوير البلد,30.587,32.133,ismailiyya-eg1904,Ismailiyya,مركز الاسماعيلية,Ismailia,الإسماعيلية
Abu Suweir Al-Mahatta,أبوصوير المحطة,30.583,32.194,ismailiyya-eg1904,Ismailiyya,مركز الاسماعيلية,Ismailia,الإسماعيلية
Abu Suweira,أبوصويرة,29.575,32.893,ras-sidr-eg3502,Ras Sidr,قسم رأس سدر,South Sinai,جنوب سيناء
Abu Sir,أبوصير,30.935,29.497,burg-al-arab-eg0214,Burg al-Arab,قسم برج العرب,Alexandria,الاسكندرية
Abu Sir,أبوصير,29.899,31.215,badrashain-eg2110,Badrashain,مركز البدرشين,Giza,الجيزة
Abu Sir Al-Malaq,أبوصير الملق,29.242,31.098,al-wasta-eg2205,Al Wasta,مركز الواسطى,Beni Suef,بنى سويف
Abu Sir Dafnu,أبوصيردفنو,29.255,30.815,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
Abu Sirina,أبوصيرينا,30.926,31.231,samannud-eg1610,Samannud,مركز سمنود,Gharbia,الغربية
Abu Talib,أبو طالب,29.409,30.945,tamya-eg2306,Tamya,مركز طامية,Fayoum,الفيوم
Abu Taha,أبوطه,31.28,31.42,bilqas-eg1208,Bilqas,مركز بلقاس,Dakahlia,الدقهلية
Abu Tawala,أبوط والة,30.583,31.353,minya-al-qamh-eg1314,Minya al-Qamh,مركز منيا القمح,Sharkia,الشرقية
Abu Tawila,أبوطويلة,31.075,34.028,shaykh-zuwayd-eg3408,Shaykh Zuwayd,قسم الشيخ زويد,North Sinai,شمال سيناء
Abu Aziz,أبوعزيز,28.421,30.819,markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا
Abu Aziz,أبوعزيز,26.597,31.565,al-maragha-eg2606,Al-Maragha,مركز المراغة,Suhag,سوهاج
Abu Aliwa,أبو عليوة,31.245,30.821,sidi-salim-eg1507,Sidi Salim,مركز سيدى سالم,Kafr El-Shikh,كفر الشيخ
Abu Amouri,أبوعموري,26.017,32.214,nag-hammadi-eg2708,Nag Hammadi,مركز نجع حمادى,Qena,قنا
Abu Awali wa Mansha'atuha,أبوع واليومنشأتها,30.296,30.932,ashmun-eg1703,Ashmun,مركز أشمون,Menoufia,المنوفية
Abu Eid,أبوعيد,30.759,31.422,dyarb-nigm-eg1310,Dyarb Nigm,مركز ديرب نجم,Sharkia,الشرقية
Abu Ghalib,أبو غالب,30.264,30.94,imbaba-eg2113,Imbaba,مركز إمبابة,Giza,الجيزة
Abu Gharaqid,أبوغراقد,28.956,33.33,abu-radis-eg3503,Abu Radis,قسم أبو رديس,South Sinai,جنوب سيناء
Abu Ghusun,أبوغصون,24.282,35.335,marsa-alam-eg3104,Marsa Alam,قسم مرسى علم,Red Sea,البحر الأحمر
Abu Ghunaima,أبوغنيمة,31.276,30.634,sidi-salim-eg1507,Sidi Salim,مركز سيدى سالم,Kafr El-Shikh,كفر الشيخ
Abu Qaramit,أبوقراميط,30.838,31.556,sinbillawin-eg1205,Sinbillawin,مركز السنبلاوين,Dakahlia,الدقهلية
Abu Qurqas,أبو قرقاص,27.934,30.835,markz-abu-qurqas-eg2404,Markz Abu Qurqas,مركز ابو قرقاص,Menia,المنيا
Abu Qalta,أبوقلته,27.807,30.734,markz-mallawi-eg2412,Markz Mallawi,مركز ملوى,Menia,المنيا
Abu Qir Al-Sharqiya,أبو قير الشرقية,31.324,30.068,muntazah-eg0201,Muntazah,قسم المنتزة,Alexandria,الاسكندرية
Abu Qir Al-Gharbiya,أبو قير الغربية,31.309,30.061,muntazah-eg0201,Muntazah,قسم المنتزة,Alexandria,الاسكندرية
Abu Karim,أبوكريم,27.594,30.696,dayrut-eg2510,Dayrut,مركز ديروط,Assiut,أسيوط
Abu Kasah,أبوكساه,29.386,30.703,abshaway-eg2303,Abshaway,مركز أبشواى,Fayoum,الفيوم
Abu Kals,أبوكلس,30.611,30.847,al-shuhada-eg1705,Al-Shuhada,مركز الشهداء,Menoufia,المنوفية
Abu Al-Hawl Al-Bahariya,أبوله والبحرية,31.454,26.699,marsa-matruh-eg3301,Marsa Matruh,قسم مرسى مطروح,Matrouh,مطروح
Abu Al-Hawl Al-Janoubiya,أبوله والجنوبية,31.309,26.837,marsa-matruh-eg3301,Marsa Matruh,قسم مرسى مطروح,Matrouh,مطروح
Abu Marqiq,أبومرقيق,31.177,27.751,marsa-matruh-eg3301,Marsa Matruh,قسم مرسى مطروح,Matrouh,مطروح
Abu Masoud,أبو مسعود,30.947,30.519,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Abu Mashhour,أبومشهور,30.698,31.058,birkat-al-sab-eg1706,Birkat Al-Sab,مركز بركة السبع,Menoufia,المنوفية
Abu Mashifa,أبومشيفة,31.347,25.861,sidi-barani-eg3305,Sidi Barani,قسم سيدى برانى,Matrouh,مطروح
Abu Mustafa,أبو مصطفي,31.36,30.876,riyad-eg1512,Riyad,مركز الرياض,Kafr El-Shikh,كفر الشيخ
Abu Mina Bahari,أبومناعبحري,26.147,32.355,dishna-eg2706,Dishna,مركز دشنا,Qena,قنا
Abu Mina Sharq,أبومناعشرق,26.181,32.479,dishna-eg2706,Dishna,مركز دشنا,Qena,قنا
Abu Mina Gharb,أبومناعغرب,26.151,32.438,dishna-eg2706,Dishna,مركز دشنا,Qena,قنا
Abu Mina Qibli,أبومناعقبلي,26.157,32.476,dishna-eg2706,Dishna,مركز دشنا,Qena,قنا
Abu Manjouj,أبو من ج و ج,30.934,30.743,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Abu Nashaba,أبونشابة,30.383,30.861,sadat-city-eg1711,Sadat City,مركز السادات,Menoufia,المنوفية
Abu Hur,أبوهور,24.645,32.942,nasr-eg2805,Nasr,مركز نصر,Aswan,أسوان
Abu Yasin,أبوياسين,30.71,31.633,abu-kabir-eg1305,Abu Kabir,مركز أبوكبير,Sharkia,الشرقية
Abu Yahya,أبويحيي,31.024,30.589,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Abwan,أبوان,28.397,30.723,markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا
Abu Stail,ابوسطيل,31.58,26.008,sidi-barani-eg3305,Sidi Barani,قسم سيدى برانى,Matrouh,مطروح
Abu Sunbul,أبوسنبل,24.438,33.021,nasr-eg2805,Nasr,مركز نصر,Aswan,أسوان
Abwit,أبويط,29.324,31.14,al-wasta-eg2205,Al Wasta,مركز الواسطى,Beni Suef,بنى سويف
Abirmad,أبيرماد,23.452,35.442,shallatin-eg3106,Shallatin,قسم شلاتين,Red Sea,البحر الأحمر
Ibya Al-Hamra,ابيا الحمراء,30.857,30.548,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Abyar,أبيار,30.845,30.852,kafr-al-zayyat-eg1612,Kafr Al-Zayyat,مركز كفر الزيات,Gharbia,الغربية
Abyana,أبيانة,31.325,30.528,mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ
Abij,أبيج,30.886,30.773,kafr-al-zayyat-eg1612,Kafr Al-Zayyat,مركز كفر الزيات,Gharbia,الغربية
Abis 7_8_9_10,ابيس 7_8_9_10,31.183,29.949,muharam-bik-eg0205,Muharam Bik,قسم محرم بك,Alexandria,الاسكندرية
Abis wa Khurshid,أبيس وخورشيد,31.198,29.996,kesm-than-al-raml-eg0217,Kesm than Al Raml,قسم ثان الرمل,Alexandria,الاسكندرية
Abis 1,أبيس 1,31.171,30.003,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Abis 3,أبيس 3,31.151,30.002,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Abis 4,أبيس 4,31.131,29.998,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Abis 5,أبيس 5,31.11,29.986,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Abis 6,أبيس 6,31.088,29.972,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Abis El-Mostagadda,أبيس المستجدة,31.138,30.058,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Abyouqa,أبيوقا,31.167,30.731,disuq-eg1506,Disuq,مركز دسوق,Kafr El-Shikh,كفر الشيخ
Abyouqa,أبيوقا,30.797,30.606,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
Abyouha,أبيوها,27.979,30.814,markz-abu-qurqas-eg2404,Markz Abu Qurqas,مركز ابو قرقاص,Menia,المنيا
